,Season,Total,Pre-Oct,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul
0,2023-24,354.0,0,0.0,14.0,12.0,72.0,133.0,95.0,28.0,,,
1,2022-23,715.0,0,0.0,61.0,116.0,220.0,113.0,192.0,3.0,10.0,0.0,0.0
2,2021-22,260.0,0,32.0,9.0,161.0,0.0,7.0,14.0,34.0,3.0,0.0,0.0
3,2020-21,244.5,0,0.0,21.0,33.0,108.5,22.0,53.0,5.0,2.0,0.0,0.0
4,2019-20,281.0,0,0.0,54.0,71.0,13.0,0.0,83.0,57.0,3.0,0.0,0.0
5,2018-19,492.0,0,0.0,55.0,26.0,93.0,207.0,68.0,11.0,32.0,0.0,0.0
6,2017-18,262.0,4,1.0,34.0,3.0,36.0,28.0,142.0,10.0,4.0,0.0,0.0
7,2016-17,617.5,0,10.0,19.0,75.0,245.5,163.0,30.0,67.0,7.0,1.0,0.0
8,2015-16,362.2,0,0.0,56.0,71.0,110.0,20.0,85.0,16.0,3.2,1.0,0.0
9,2014-15,176.0,0,0.0,13.1,63.5,2.6,33.0,7.5,28.3,28.0,0.0,0.0
10,2013-14,238.0,0,10.0,10.5,24.5,15.0,68.5,56.5,47.0,6.0,0.0,0.0
11,2012-13,308.3,0,18.0,60.7,147.1,26.0,10.0,29.0,14.0,3.5,0.0,0.0
12,2011-12,263.0,0,19.5,30.0,2.0,56.0,34.5,79.0,42.0,0.0,0.0,0.0
13,2010-11,668.5,0,10.0,88.0,209.0,29.0,92.0,177.5,31.0,27.5,4.5,0.0
14,2009-10,557.9,0,34.0,21.0,103.0,127.0,108.0,62.5,84.9,17.5,0.0,0.0
15,2008-9,470.0,0,10.0,26.5,120.5,63.0,144.0,62.5,30.0,11.5,2.0,0.0
16,2007-8,333.5,10,1.0,4.5,65.5,126.5,89.0,16.5,2.5,18.0,0.0,0.0
17,2006-7,222.1,0,4.0,5.5,56.6,11.0,100.5,13.0,26.5,5.0,0.0,0.0
18,2005-6,578.5,0,0.0,23.4,107.8,112.4,48.1,164.1,118.4,4.3,0.0,0.0
19,2004-5,570.1,0,85.6,28.3,109.3,127.0,72.9,85.6,35.5,25.1,0.8,0.0
20,2003-4,348.9,6,0.0,23.0,124.9,51.6,108.6,20.9,13.7,0.2,0.0,0.0
21,2002-3,356.0,3,0.0,25.0,134.4,8.6,33.9,30.3,96.0,24.8,0.0,0.0
22,2001-2,299.6,0,6.0,43.8,97.1,37.4,28.1,45.5,25.9,15.8,0.0,0.0
23,2000-1,393.9,0,38.0,22.8,9.0,68.8,124.1,60.3,70.9,0.0,0.0,0.0
24,1999-0,382.7,0,0.0,21.5,3.1,121.4,136.1,48.6,41.0,11.0,0.0,0.0
25,1998-99,332.4,5,0.0,40.5,37.0,78.5,73.8,42.5,55.1,0.0,0.0,0.0
26,1997-98,451.4,1,0.0,36.5,41.7,98.2,159.3,58.7,35.0,21.0,0.0,0.0
27,1996-97,323.8,5,25.5,33.4,130.2,121.6,6.5,0.1,1.5,0.0,0.0,0.0
28,1995-96,321.2,0,0.0,0.0,52.7,76.6,106.4,41.7,40.1,3.7,0.0,0.0
29,1994-95,540.2,0,0.0,87.3,53.7,182.0,17.7,139.7,34.0,25.8,0.0,0.0
30,1993-94,275.1,0,0.0,19.2,27.2,27.8,118.4,25.3,39.4,17.8,0.0,0.0
31,1992-93,472.5,0,23.5,0.5,102.1,161.5,134.5,38.3,11.9,0.2,0.0,0.0
32,1991-92,226.0,17,0.0,24.2,45.1,16.7,94.9,24.0,4.1,0.0,0.0,0.0
33,1990-91,242.0,0,0.0,6.8,27.8,11.4,6.3,176.0,5.9,7.8,0.0,0.0
34,1989-90,214.3,0,16.0,17.9,2.0,62.5,71.8,23.0,17.1,4.0,0.0,0.0
35,1988-89,251.4,0,0.0,34.2,74.7,10.2,35.8,67.0,12.7,16.8,0.0,0.0
36,1987-88,230.0,0,0.0,27.0,66.1,76.7,9.3,11.1,33.1,6.7,0.0,0.0
37,1986-87,195.8,5,0.0,0.0,0.0,54.7,69.9,58.0,8.2,0.0,0.0,0.0
