Year    Month    Zone      MaxDate     MaxTime     MaxWL       MinDate     MinTime      MinWL
1980      4      LST      19800415      00:00       4.10      19800417      00:00      -5.23
1980      5      LST      19800514      00:00       4.04      19800516      00:00      -5.85
1980      6      LST      19800611      00:00       4.06      19800613      00:00      -5.48
1980      7      LST      19800727      00:00       4.19      19800712      00:00      -5.25
1980      8      LST      19800808      00:00       3.96      19800826      00:00      -4.77
1980      9      LST      19800926      00:00       4.29      19800923      00:00      -4.33
1980     10      LST      19801025      00:00       4.50      19801026      00:00      -5.08
1980     11      LST      19801122      00:00       4.77      19801124      00:00      -5.94
1980     12      LST      19801221      00:00       5.31      19801222      00:00      -5.54
1981      1      LST      19810121      00:00       5.50      19810107      00:00      -4.60
1981      2      LST      19810216      00:00       4.15      19810204      00:00      -4.94
1981      3      LST      19810306      00:00       3.61      19810305      00:00      -4.75
1981      4      LST      19810408      00:00       3.31      19810407      00:00      -5.62
1981      5      LST      19810531      00:00       4.19      19810506      00:00      -6.08
1981      6      LST      19810601      00:00       4.42      19810603      00:00      -6.13
1981      7      LST      19810701      00:00       4.50      19810703      00:00      -5.77
1981      8      LST      19810827      00:00       3.58      19810801      00:00      -5.15
1981      9      LST      19810913      00:00       3.54      19810924      00:00      -4.21
1981     10      LST      19811028      00:00       4.33      19811016      00:00      -4.83
1981     11      LST      19811113      00:00       5.96      19811112      00:00      -4.48
1981     12      LST      19811212      00:00       5.73      19811211      00:00      -5.46
1982      1      LST      19820110      00:00       4.73      19820111      00:00      -5.87
1982      2      LST      19820207      00:00       4.31      19820206      00:00      -5.39
1982      3      LST      19820329      00:00       4.52      19820306      00:00      -4.35
1982      5      LST      19820525      00:00       4.38      19820524      00:00      -5.92
1982      6      LST      19820621      00:00       4.83      19820622      00:00      -5.73
1982      7      LST      19820719      00:00       4.71      19820721      00:00      -5.75
1982      8      LST      19820817      00:00       4.35      19820818      00:00      -5.27
1982      9      LST      19820916      00:00       4.15      19820914      00:00      -4.39
1982     10      LST      19821006      00:00       3.85      19821007      00:00      -4.19
1982     11      LST      19821130      00:00       5.88      19821104      00:00      -4.63
1982     12      LST      19821230      00:00       5.35      19821230      00:00      -5.42
1983      1      LST      19830129      11:06       6.96      19830101      19:30      -5.24
1983      2      LST      19830227      11:18       5.67      19830226      17:12      -4.12
1983      3      LST      19830302      01:36       5.46      19830325      15:24      -4.16
1983      4      LST      19830426      22:48       4.52      19830416      07:48      -4.32
1983      5      LST      19830525      22:30       4.05      19830515      07:36      -5.53
1983      6      LST      19830611      23:18       4.41      19830613      07:30      -5.71
1983      7      LST      19830710      22:54       4.39      19830711      06:06      -5.89
1983      8      LST      19830808      22:54       4.76      19830808      05:06      -5.40
1983      9      LST      19830906      22:48       4.56      19830906      04:42      -4.74
1983     10      LST      19831007      11:48       4.70      19831025      20:06      -4.16
1983     11      LST      19831105      11:06       4.76      19831121      18:36      -4.74
1983     12      LST      19831203      10:00       4.92      19831221      19:00      -5.73
1984      1      LST      19840118      00:00       4.69      19840119      00:00      -5.69
1984      2      LST      19840215      00:00       4.92      19840217      00:00      -5.50
1984      3      LST      19840316      00:00       4.96      19840317      00:00      -4.44
1984      4      LST      19840418      00:00       4.69      19840417      00:00      -5.04
1984      5      LST      19840512      00:00       3.85      19840515      00:00      -5.79
1984      6      LST      19840612      00:00       4.06      19840630      00:00      -5.69
1984      7      LST      19840728      00:00       4.19      19840729      00:00      -5.58
1984      8      LST      19840826      00:00       4.46      19840826      00:00      -4.81
