Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1963,,,,Feb 01,0,0.0,Feb 28,0,0.0,Apr 02,14,3.8,May 02,2,1.1,,,
1964,Jan 03,8,2.4,Feb 04,33,9.8,Mar 03,35,10.6,Apr 02,31,9.6,Apr 28,0,0.0,,,
1965,Jan 08,56,13.8,Feb 05,36,15.0,Mar 05,32,14.2,Apr 02,27,13.1,Apr 29,0,0.0,,,
1966,Jan 13,37,10.6,Jan 28,35,10.2,Feb 24,40,12.1,Mar 30,16,6.8,May 05,0,0.0,,,
1967,Dec 28,21,6.0,Jan 30,45,13.7,Mar 03,34,12.5,Mar 28,38,15.3,Apr 27,43,18.0,May 29,0,0.0
1968,Dec 28,22,5.8,Feb 06,44,11.6,Feb 27,21,8.2,Mar 28,18,7.0,May 03,0,0.0,,,
1969,Jan 03,27,7.8,Jan 29,59,16.4,Feb 27,79,22.8,Mar 26,58,23.2,Apr 30,15,7.0,May 28,0,0.0
1970,Jan 02,13,2.8,Jan 29,14,5.4,Mar 03,25,7.5,Apr 02,6,2.4,May 04,0,0.0,,,
1971,Dec 29,47,12.9,Jan 28,45,15.8,Feb 26,38,15.3,Mar 29,41,17.5,Apr 28,16,6.9,,,
1972,Dec 31,42,9.2,Jan 28,46,11.8,Feb 29,31,13.1,Mar 30,2,1.0,Apr 28,0,0.0,,,
