intercept,slope
0.0,0.0
45.084613930423636,130.37451799121095
-651.8725899560548,-2148.556952882742
11439.741968300184,37231.31802529831
-197551.24748086132,-643492.9337152456
3415061.0006710184,11123441.978656027
-59032225.80933723,-192278748.95931822
1020426015.6905426,3323713406.3292522
-17638993002.252186,-57453413836.32142
304906062228.94385,993134594523.1559
-5270579034799.641,-17167236146634.96
91106759768019.55,296751315019106.2
-1574863334863506.2,-5129616801060099.0
2.7222947340164056e+16,8.867009915027438e+16
-4.7057344309153606e+17,-1.53274343644824e+18
8.13429062533274e+18,2.649486652759527e+19
-1.4060862326330907e+20,-4.57987903012491e+20
2.430548138325764e+21,7.916738100466153e+21
-4.2014238640656536e+22,-1.3684802969493073e+23
7.262543871153101e+23,2.365542852842629e+24
-1.2553968651328456e+25,-4.089056306553552e+25
2.1700678397900602e+26,7.068306312047069e+26
-3.75115994000254e+27,-1.2218211336647952e+28
6.484221662324229e+28,2.112029129418953e+29
-1.1208567813327186e+30,-3.650834742180811e+30
1.9375030492236775e+31,6.310800418922868e+31
-3.349150514383801e+32,-1.0908793396571832e+33
5.7893117497243e+33,1.885684310539494e+34
-1.0007352727669902e+35,-3.2595771042214854e+35
1.729862079387443e+36,5.634475950709458e+36
-2.9902241832934734e+37,-9.739704944548552e+37
5.168874890603623e+38,1.6835967219794257e+39
-8.934871098957491e+39,-2.910250298543566e+40
1.5444738602613579e+41,5.03063274571784e+41
-2.6697637588850557e+42,-8.6959069585711e+42
4.614929855174056e+43,1.503166731789223e+44
-7.977326644463521e+44,-2.5983606245129072e+45
1.378953578701089e+46,4.4915030330552903e+46
-2.383646874397754e+47,-7.763972139058504e+47
4.120350756969028e+48,1.3420733089224364e+49
-7.122401620309085e+49,-2.319895968535035e+50
1.2311720004706083e+51,4.010151508896563e+51
-2.128192954495341e+52,-6.931912181588208e+52
3.6787753862436382e+53,1.1982441657540479e+54
-6.359098367394602e+54,-2.0712741926783216e+55
1.0992280800131067e+56,3.5803861215176042e+56
-1.9001158687601128e+57,-6.189023560699938e+57
3.2845233672259794e+58,1.069829100406164e+59
-5.6775978387534224e+59,-1.849297054455587e+60
9.814245056153276e+60,3.196678417440444e+61
-1.6964816592817545e+62,-5.525749840951231e+62
2.9325230864037895e+63,9.55176195959706e+63
-5.069133288438909e+64,-1.6511090649934228e+65
8.762458653811008e+65,2.8540924240311146e+66
-1.5146707985536677e+67,-4.933558744009592e+67
2.618246451860163e+68,8.528105703814501e+68
-4.525877497093267e+69,-1.474160756345339e+70
7.82339153143602e+70,2.548221153704325e+71
-1.3523444921665229e+72,-4.404832390386222e+72
2.3376506444097637e+73,7.614154038078801e+73
-4.040842083480377e+74,-1.3161758854236069e+75
6.984963635466073e+75,2.2751299129321438e+76
-1.2074145928207326e+77,-3.9327693038933614e+77
2.0871261112287537e+78,6.7981499912296056e+78
-3.6077876067376785e+79,-1.175122152664875e+80
6.236389523998142e+80,2.0313056867901786e+81
-1.078016738635071e+82,-3.5112969182216084e+82
1.8634501329743114e+83,6.069596579230225e+83
-3.2211433029125447e+84,-1.0491850587577726e+85
5.5680396240801164e+85,1.8136119479297558e+86
-9.62486370205679e+86,-3.1349934601317494e+87
1.6637453670864427e+88,5.41912177314874e+88
-2.875935423283015e+89,-9.367445631283895e+89
4.971316357970249e+90,1.6192483086438162e+91
-8.593373179016107e+91,-2.799018204375203e+92
1.4854428339777627e+93,4.838357938434711e+93
-2.567723252615132e+94,-8.363542439210285e+94
4.438543544866656e+95,1.445714496995259e+96
-7.672426839462956e+96,-2.4990492031503434e+97
1.326248869969802e+98,4.3198341946119706e+98
-2.2925419843029646e+99,-7.467226913905708e+99
3.962867655383151e+100,1.2907781936007005e+101
-6.850177733541819e+101,-2.2312276890533587e+102
1.1841156218620975e+103,3.85688031071467e+103
-2.0468517175435445e+104,-6.666968953531461e+104
3.538169648520085e+105,1.1524463153256678e+106
-6.116048541480348e+106,-1.992108436329531e+107
1.057214703579569e+108,3.4435409001883416e+108
-1.8274919204521276e+109,-5.952474129931555e+109
3.1589862570109904e+110,1.0289393764879204e+111
-5.460595508140701e+111,-1.778615441877651e+112
9.439136760202328e+112,3.074498811468871e+113
-1.6316407733364586e+114,-5.314551262269838e+114
2.8204397084685648e+115,9.186685977543079e+115
-4.8753869596183955e+116,-1.5880023558930074e+117
8.427550475426876e+117,2.745006728744384e+118
-1.4567788691264607e+119,-4.7449941827162024e+119
2.5181749782707472e+120,8.202154682625989e+120
-4.352894839140069e+121,-1.4178171531332135e+122
7.524375249580074e+122,2.4508261030200238e+123
