Entity,Code,Year,GDP (constant 2010 US$)
Afghanistan,AFG,2002,8013233121.55065
Afghanistan,AFG,2003,8689883606.077759
Afghanistan,AFG,2004,8781610175.40574
Afghanistan,AFG,2005,9762978844.07633
Afghanistan,AFG,2006,10305228125.1392
Afghanistan,AFG,2007,11721187594.2052
Afghanistan,AFG,2008,12144482858.18
Afghanistan,AFG,2009,14697331940.6464
Afghanistan,AFG,2010,15936800636.2487
Afghanistan,AFG,2011,16911126453.2276
Afghanistan,AFG,2012,19352203805.6294
Afghanistan,AFG,2013,20107051005.0514
Afghanistan,AFG,2014,20648035625.4122
Afghanistan,AFG,2015,20918533234.6796
Afghanistan,AFG,2016,21413614653.3241
Afghanistan,AFG,2017,21969414112.4281
Albania,ALB,1980,5639605626.23213
Albania,ALB,1981,5963636797.42292
Albania,ALB,1982,6139480401.28891
Albania,ALB,1983,6207317869.32012
Albania,ALB,1984,6129627287.14195
Albania,ALB,1985,6238774125.18701
Albania,ALB,1986,6590468993.96566
Albania,ALB,1987,6538546468.0658
Albania,ALB,1988,6445696515.37026
Albania,ALB,1989,7079730609.59294
Albania,ALB,1990,6401801081.44935
Albania,ALB,1991,4507572306.618072
Albania,ALB,1992,4183027101.1652203
Albania,ALB,1993,4584597704.7764
Albania,ALB,1994,4965119313.34799
Albania,ALB,1995,5625480181.64411
Albania,ALB,1996,6137398878.60781
Albania,ALB,1997,5472236442.22248
Albania,ALB,1998,5965222153.93997
Albania,ALB,1999,6770597139.17318
Albania,ALB,2000,7221967155.945391
Albania,ALB,2001,7795415283.49943
Albania,ALB,2002,8125268226.5056
Albania,ALB,2003,8594379820.60265
Albania,ALB,2004,9085080800.55321
Albania,ALB,2005,9604821915.17285
Albania,ALB,2006,10126461016.8989
Albania,ALB,2007,10723922216.8765
Albania,ALB,2008,11127233240.5581
Albania,ALB,2009,11500286001.8886
Albania,ALB,2010,11926953258.916
Albania,ALB,2011,12231109752.6888
Albania,ALB,2012,12404787541.0993
Albania,ALB,2013,12528929022.9843
Albania,ALB,2014,12751238423.4304
Albania,ALB,2015,13034156787.8592
Albania,ALB,2016,13471082475.1768
Albania,ALB,2017,13988555742.8063
Algeria,DZA,1960,27434399198.5661
Algeria,DZA,1961,23701828112.4837
Algeria,DZA,1962,19036113335.2005
Algeria,DZA,1963,25568113635.8175
Algeria,DZA,1964,27061141389.0302
Algeria,DZA,1965,28740798889.5036
Algeria,DZA,1966,27359811853.9881
Algeria,DZA,1967,29946124625.8101
Algeria,DZA,1968,33179179683.712
Algeria,DZA,1969,35977272901.7645
Algeria,DZA,1970,39165815236.0404
Algeria,DZA,1971,34727655043.5586
Algeria,DZA,1972,44251356563.9066
Algeria,DZA,1973,45938738803.5353
Algeria,DZA,1974,49381809470.8621
Algeria,DZA,1975,51873290453.4046
Algeria,DZA,1976,56223777003.7627
Algeria,DZA,1977,59180352662.8655
Algeria,DZA,1978,64633724928.158
Algeria,DZA,1979,69466922771.1721
Algeria,DZA,1980,70016133106.5164
Algeria,DZA,1981,72116614360.2801
Algeria,DZA,1982,76732080647.514
Algeria,DZA,1983,80875615322.4914
Algeria,DZA,1984,85404646973.9496
Algeria,DZA,1985,88564616567.7931
Algeria,DZA,1986,88918875921.9762
Algeria,DZA,1987,88296445990.496
Algeria,DZA,1988,87413476682.8251
Algeria,DZA,1989,91259671545.3277
Algeria,DZA,1990,91989749446.9795
Algeria,DZA,1991,90885871916.0363
Algeria,DZA,1992,92521819701.8253
Algeria,DZA,1993,90578860785.6483
Algeria,DZA,1994,89763654164.5903
Algeria,DZA,1995,93174668346.0474
Algeria,DZA,1996,96994828322.4354
Algeria,DZA,1997,98061771373.7004
Algeria,DZA,1998,103062925254.282
Algeria,DZA,1999,106360940460.508
Algeria,DZA,2000,110423586430.994
Algeria,DZA,2001,113745564598.73
Algeria,DZA,2002,120125920931.173
Algeria,DZA,2003,128777236288.584
Algeria,DZA,2004,134316749131.751
Algeria,DZA,2005,142251902308.528
Algeria,DZA,2006,144648118986.031
Algeria,DZA,2007,149526919452.577
Algeria,DZA,2008,153055956405.236
Algeria,DZA,2009,155554202821.621
Algeria,DZA,2010,161207268655.392
Algeria,DZA,2011,165869166838.539
