,destination,passenger,weather,temperature,time,coupon,HoursToCouponExpiration,gender,age,maritalStatus,has_children,education,occupation,AvgAnnualIncome,AvgMonthlyVisitsToBar,AvgMonthlyVisitsToCoffeeHouse,AvgMonthlyVisitsToCarryAway,AvgMonthlyVisitsToRestaurantLessThan20,AvgMonthlyVisitsToRestaurant20To50,AtLeast5MinutesDriveToRedeem,AtLeast15MinutesDriveToRedeem,AtLeast25MinutesDriveToRedeem,CanRedeemOnTheWay,Y
22,Nowhere,None,Sunny,55,2PM,RestaurantLessThan20,24.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,0,0,0,1
23,Nowhere,Friend,Sunny,80,10AM,CoffeeHouse,2.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,0,0,0,0
24,Nowhere,Friend,Sunny,80,10AM,Bar,24.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,0,0,0,1
25,Nowhere,Friend,Sunny,80,10AM,CarryAway,2.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,1,0,0,0
26,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,24.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,0,0,0,0
27,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,2.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,1,0,0,0
28,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,24.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,1,0,0,0
29,Nowhere,Friend,Sunny,80,2PM,RestaurantLessThan20,24.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,1,0,0,1
30,Nowhere,Friend,Sunny,80,6PM,CoffeeHouse,2.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,0,0,0,0
31,Nowhere,Friend,Sunny,80,6PM,RestaurantLessThan20,2.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,1,0,0,1
32,Nowhere,Friend,Sunny,55,2PM,CoffeeHouse,2.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,0,0,0,0
33,Nowhere,Friend,Sunny,55,2PM,CarryAway,24.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,1,0,0,1
34,Nowhere,None,Sunny,55,10AM,CoffeeHouse,2.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,0,0,0,0
35,Home,None,Sunny,55,6PM,Bar,24.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,0,0,1,1
36,Home,None,Sunny,55,6PM,Restaurant20To50,24.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,1,0,0,0
37,Home,None,Sunny,80,6PM,CoffeeHouse,2.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,0,0,0,0
38,Work,None,Sunny,55,7AM,CoffeeHouse,2.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,1,1,0,0
39,Work,None,Sunny,55,7AM,Bar,24.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,1,1,0,1
40,Work,None,Sunny,80,7AM,Restaurant20To50,24.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,1,0,0,0
41,Work,None,Sunny,80,7AM,CarryAway,2.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,0,0,1,1
42,Work,None,Sunny,55,7AM,RestaurantLessThan20,24.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,0,0,0,1
43,Work,None,Sunny,55,7AM,CoffeeHouse,2.0,Male,21.0,Single,0,Bachelors,Architecture & Engineering,68749.5,0.0,0.0,6.0,6.0,0.0,1,1,0,0,0
44,Nowhere,None,Sunny,55,2PM,RestaurantLessThan20,24.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,0,0,0,1
45,Nowhere,Friend,Sunny,80,10AM,CoffeeHouse,2.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,0,0,0,1
46,Nowhere,Friend,Sunny,80,10AM,Bar,24.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,0,0,0,0
47,Nowhere,Friend,Sunny,80,10AM,CarryAway,2.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,1,0,0,1
48,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,24.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,0,0,0,1
49,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,2.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,1,0,0,1
